stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1180,1638,Mission & Sylvar,,,36.977268,-122.030281,,https://scmtd.com/en/stop/1638,,,,0,,
1181,1647,Mt Hermon Rd & Covenant Ln,,,37.055664,-122.061325,,https://scmtd.com/en/stop/1647,,,,0,,
1182,1648,Mt Hermon Rd & Conference Dr,,,37.053524,-122.039589,,https://scmtd.com/en/stop/1648,,,,0,,
1183,1649,Mt Hermon Rd & Conference Dr,,,37.054188,-122.039986,,https://scmtd.com/en/stop/1649,,,,0,,
1184,1650,Mt Hermon Rd & Quarry Rd,,,37.049770,-122.036583,,https://scmtd.com/en/stop/1650,,,,0,,
1185,1651,Mt Hermon Rd & Lockhart Gulch Rd,,,37.050823,-122.037148,,https://scmtd.com/en/stop/1651,,,,0,,
1186,1652,Mt Hermon Rd & Kings Village Rd,,,37.045651,-122.027496,,https://scmtd.com/en/stop/1652,,,,0,,
1187,1653,Mt Hermon Rd (Graham Plaza),,,37.044693,-122.026665,,https://scmtd.com/en/stop/1653,,,,0,,
1188,1654,Mt Hermon Rd & Whispering Pines Dr,,,37.042404,-122.024902,,https://scmtd.com/en/stop/1654,,,,0,,
1189,1658,Murray & Seabright Ave,,,36.967262,-122.007477,,https://scmtd.com/en/stop/1658,,,,0,,
1190,1664,Ocean & Water,,,36.979939,-122.021240,,https://scmtd.com/en/stop/1664,,,,0,,
1192,1666,Ocean & Hubbard,,,36.982430,-122.022217,,https://scmtd.com/en/stop/1666,,,,0,,
1194,1671,Pine Flat Rd & Empire Grade,,,37.078445,-122.133873,,https://scmtd.com/en/stop/1671,,,,0,,
1195,1672,Pine Flat Rd & Empire Grade,,,37.078674,-122.133743,,https://scmtd.com/en/stop/1672,,,,0,,
1197,1678,Pool Dr & Hwy 9 (Mountain Store),,,37.154930,-122.133217,,https://scmtd.com/en/stop/1678,,,,0,,
1198,1681,Portola Dr & 18th Ave,,,36.962604,-121.987198,,https://scmtd.com/en/stop/1681,,,,0,,
1199,1682,Portola Dr & Clearwater Ct,,,36.962486,-121.983597,,https://scmtd.com/en/stop/1682,,,,0,,
1200,1683,Portola Dr & 21st Ave,,,36.962254,-121.984566,,https://scmtd.com/en/stop/1683,,,,0,,
1201,1685,Portola Dr & 24th Ave (Live Oak Library),,,36.962967,-121.980385,,https://scmtd.com/en/stop/1685,,,,0,,
1202,1686,Portola Dr & 26th Ave (Trailer Haven),,,36.963348,-121.974937,,https://scmtd.com/en/stop/1686,,,,0,,
1203,1687,Portola Dr & 30th Ave,,,36.963566,-121.973892,,https://scmtd.com/en/stop/1687,,,,0,,
1204,1688,Portola Dr & 30th Ave,,,36.963345,-121.972389,,https://scmtd.com/en/stop/1688,,,,0,,
1205,1690,Portola Dr & 35th Ave,,,36.963554,-121.971924,,https://scmtd.com/en/stop/1690,,,,0,,
1206,1692,Portola Dr & 37th Ave,,,36.963535,-121.968834,,https://scmtd.com/en/stop/1692,,,,0,,
1207,1693,Portola Dr & 37th Ave,,,36.963318,-121.968773,,https://scmtd.com/en/stop/1693,,,,0,,
1208,1703,Rio Del Mar Blvd & Kingsbury Dr,,,36.968151,-121.901215,,https://scmtd.com/en/stop/1703,,,,0,,
1209,1705,Rio Del Mar Blvd & Highland Dr,,,36.969090,-121.899513,,https://scmtd.com/en/stop/1705,,,,0,,
1210,1707,Rio Del Mar Blvd & Martin Dr,,,36.970234,-121.898155,,https://scmtd.com/en/stop/1707,,,,0,,
1211,1708,Rio Del Mar Blvd & Sumner Ave,,,36.971050,-121.896011,,https://scmtd.com/en/stop/1708,,,,0,,
1212,1710,Rio Del Mar Blvd & Palmer Ave,,,36.971233,-121.891838,,https://scmtd.com/en/stop/1710,,,,0,,
